PNR,DEP. DATE,TBO,TRIPEUR,LOSS,PERCENTLOSS,PASS/FAIL
A422CE,09-04-2018,75705.01,76139,-433.99000000000524,-0.5732645699406226,PASS
GUE7JR,09-04-2018,8418,8418,0,0,PASS
B483CG,09-04-2018,11075.64,11464,-388.3600000000006,-3.506433939709133,PASS
AFFSXD,09-04-2018,4837.69,4966,-128.3100000000004,-2.652298927794059,PASS
IKLCGR,09-04-2018,4837.69,4966,-128.3100000000004,-2.652298927794059,PASS
Q1L98L,09-04-2018,5304.23,5547,-242.77000000000044,-4.576913142906708,PASS
YE6FFZ,09-04-2018,8374.91,8493,-118.09000000000015,-1.4100450034686958,PASS
JB7JHC,09-04-2018,8374.91,8493,-118.09000000000015,-1.4100450034686958,PASS
GKPDQR,09-04-2018,4293.88,4416,-122.11999999999989,-2.8440478075772937,PASS
N7J2PC,09-04-2018,2398.91,2580,-181.09000000000015,-7.548845100483143,PASS
PL1NRO,09-04-2018,22213.7,22431,-217.29999999999927,-0.9782251493447703,PASS
NC5FTD,09-04-2018,8307.13,8778,-470.8700000000008,-5.668263287079904,PASS
UB5QQW,09-04-2018,5050.39,5405,-354.6099999999997,-7.021437948356457,PASS
ZY5EMI,09-04-2018,6605.98,6735,-129.02000000000044,-1.953078877017497,PASS
W3QIPI,09-04-2018,7207.12,14884,-7676.88,-106.5179988677863,PASS
X34TNY,17-04-2018,152658.65,155548,-2889.350000000006,-1.8926867229600197,PASS
LNR3YZ,17-04-2018,9491,9580,-89,-0.9377304815087978,PASS
WOT2QY,17-04-2018,3803.99,3915,-111.01000000000022,-2.9182516252671595,PASS
NYQARZ,17-04-2018,7240.1,14902,-7661.9,-105.82588638278476,PASS
7DHS1A,17-04-2018,5965.77,18639,-12673.23,-212.43242699601223,PASS
HCJ55U,17-04-2018,9133.61,9478,-344.3899999999994,-3.770579212381516,PASS
LINOFH,17-04-2018,5760.35,5926,-165.64999999999964,-2.8756933172463413,PASS
MHDZUA,17-04-2018,6856.92,6979,-122.07999999999993,-1.7803911960472036,PASS
M2KGQY,17-04-2018,5934.94,6192,-257.0600000000004,-4.331299052728426,PASS
U46IQV,17-04-2018,5934.94,12384,-6449.06,-108.66259810545684,PASS
H6GQWM,17-04-2018,2762.53,2918,-155.4699999999998,-5.627812186654979,PASS
QD5Z5U,17-04-2018,4760.82,4957,-196.1800000000003,-4.120718699719802,PASS
Z5KJXL,17-04-2018,4003.68,4192,-188.32000000000016,-4.7036726211885105,PASS
JWLEWW,17-04-2018,2690,2749,-59,-2.193308550185874,PASS
XK4WTX,17-04-2018,4837.69,4984,-146.3100000000004,-3.0243773371175173,PASS
WDDW2Z,17-04-2018,10935.41,11076,-140.59000000000015,-1.2856399531430478,PASS
98PMQ2,14-04-2018,5580.57,5795,-214.4300000000003,-3.8424390340054924,PASS
DHZT2K,14-04-2018,3527.42,3635,-107.57999999999993,-3.0498211157163007,PASS
Q8TC2Z,14-04-2018,4779.44,4971,-191.5600000000004,-4.008000937348317,PASS
FJRUUV,14-04-2018,9491,9550,-59,-0.6216415551575176,PASS
IKPN9B,14-04-2018,4622.55,4761,-138.44999999999982,-2.9951001070837484,PASS
PI5F9K,14-04-2018,4073.45,4195,-121.55000000000018,-2.983957087972117,PASS
U5XLKE,14-04-2018,4482.54,4710,-227.46000000000004,-5.074355164705726,PASS
K4NW7P,14-04-2018,10002.67,10290,-287.3299999999999,-2.8725330336800066,PASS
V8FL8L,14-04-2018,3080.05,3200,-119.94999999999982,-3.894417298420474,PASS
LRZ8B0,14-04-2018,4604.59,4790,-185.40999999999985,-4.026634293172679,PASS
A9QZQF,14-04-2018,2176.1,2367,-190.9000000000001,-8.772574789761505,PASS
NQJ1J4,14-04-2018,10831.89,10970,-138.11000000000058,-1.2750314118773416,PASS
V6FW42,05-04-2018,3348.3,7104,-3755.7,-112.167368515366,PASS
M6UQMB,05-04-2018,7380.71,7548,-167.28999999999996,-2.2665841091168732,PASS
TBQ86D,05-04-2018,8371.86,8839,-467.1399999999994,-5.5798830845236225,PASS
TEMG3G,13-04-2018,5517.73,5669,-151.27000000000044,-2.7415259536077414,PASS
UTTTNP,13-04-2018,9435.36,9789,-353.6399999999994,-3.748028692068977,PASS
U9RV3Q,13-04-2018,8718.7,8981,-262.2999999999993,-3.0084760342711556,PASS
UEKF5H,13-04-2018,9028.77,9329,-300.22999999999956,-3.3252591438257872,PASS
N3GGV2,13-04-2018,7099.69,7380,-280.3100000000004,-3.948200555235516,PASS
NB3HKS,13-04-2018,5553.7,5679,-125.30000000000018,-2.2561535552874696,PASS
EYHJMN,13-04-2018,9447.73,9725,-277.27000000000044,-2.934779042161455,PASS
7TRGTU,13-04-2018,10600.92,10928,-327.0799999999999,-3.085392588567784,PASS
BJLFGE,13-04-2018,9393.44,9530,-136.5599999999995,-1.4537805106542383,PASS
MF22NG,13-04-2018,4133.03,4161,-27.970000000000255,-0.6767432126067379,PASS
OIWMMK,13-04-2018,4269.94,4278,-8.0600000000004,-0.18876143458691225,PASS
TJQ3WX,13-04-2018,7376.36,7603,-226.64000000000033,-3.0725181525847485,PASS
7NDNH8,13-04-2018,6460,6460,0,0,PASS
T3V8MV,03-04-2018,3890.45,4180,-289.5500000000002,-7.442583762803793,PASS
Y3HN3V,03-04-2018,4726.66,5044,-317.34000000000015,-6.713831754346625,PASS
RCP4XK,03-04-2018,5674.88,6060,-385.1199999999999,-6.7863990075561045,PASS
AJS23B,03-04-2018,2981.4,5998,-3016.6,-101.18065338431607,PASS
W6P73O,15-04-2018,3780.8,3781,-0.1999999999998181,-0.005289885738463238,PASS
CP9J7Q,15-04-2018,1899,5697,-3798,-200,PASS
SEF49R,15-04-2018,3471.56,3641,-169.44000000000005,-4.8808028667227426,PASS
BCZ64Z,15-04-2018,11769.33,11922,-152.67000000000007,-1.2971851413801812,PASS
V4IZPV,15-04-2018,22622.4,49327,-26704.6,-118.04494660159841,PASS
S6JFVV,15-04-2018,5272.69,5445,-172.3100000000004,-3.267971377039052,PASS
OENWSW,15-04-2018,7180.79,7199,-18.210000000000036,-0.2535932675931205,PASS
2H9STY,15-04-2018,5709.61,5960,-250.39000000000033,-4.385413364485497,PASS
DJ8MNI,18-04-2018,3990,4079,-89,-2.2305764411027567,PASS
XD2PFQ,18-04-2018,9337.95,9664,-326.0499999999993,-3.491665729630157,PASS
WP6Y5G,18-04-2018,3990,3990,0,0,PASS
LDC6XH,18-04-2018,8493.06,26454,-17960.940000000002,-211.4778419085701,PASS
A9CSRQ,18-04-2018,6377.07,6640,-262.9300000000003,-4.123053377177925,PASS
MHLTNN,18-04-2018,5928.92,6046,-117.07999999999993,-1.9747272690473126,PASS
R7182C,18-04-2018,4351.97,4528,-176.02999999999975,-4.044834867887411,PASS
T8UHWL,18-04-2018,9765.26,9990,-224.73999999999978,-2.3014236180091445,PASS
TGTJXO,18-04-2018,11116.32,11257,-140.6800000000003,-1.2655267210731636,PASS
RH7EXE,18-04-2018,5956.68,6168,-211.3199999999997,-3.5476137714297176,PASS
S74R5C,18-04-2018,5956.68,6168,-211.3199999999997,-3.5476137714297176,PASS
VCMYHI,18-04-2018,6553.89,6814,-260.1099999999997,-3.968788002239886,PASS
PWW8RW,18-04-2018,2690,8070,-5380,-200,PASS
T7DZ9N,18-04-2018,7913.69,8104,-190.3100000000004,-2.404820001794364,PASS
L9NCSI,18-04-2018,2723.33,2796,-72.67000000000007,-2.668424318756819,PASS
LCKZRQ,18-04-2018,3477.81,3656,-178.19000000000005,-5.123626650104521,PASS
TDTQ6J,18-04-2018,5044.41,5188,-143.59000000000015,-2.8465172339282523,PASS
K6RLPB,18-04-2018,5377.11,5527,-149.89000000000033,-2.7875568846462198,PASS
Y9IPFY,18-04-2018,4340.66,4352,-11.340000000000146,-0.26125059322776134,PASS
V496X2,18-04-2018,4119.65,4161,-41.350000000000364,-1.0037260446882712,PASS
OBGS4P,18-04-2018,10154.93,10182,-27.06999999999971,-0.2665700305171942,PASS
8DHRXS,18-04-2018,4172.5,4190,-17.5,-0.4194128220491312,PASS
LOQGXQ,18-04-2018,5604.52,5796,-191.47999999999956,-3.4165280880432145,PASS
OE8MF3,22-04-2018,1498.85,1700,-201.1500000000001,-13.420288888147585,PASS
M2LHOT,22-04-2018,5240.86,5404,-163.14000000000033,-3.1128478913766124,PASS
N5B66V,22-04-2018,5385.71,5588,-202.28999999999996,-3.7560507342578777,PASS
TGWGLC,22-04-2018,4900.81,5063,-162.1899999999996,-3.3094529271691737,PASS
S73ZUR,22-04-2018,7226.29,7360,-133.71000000000004,-1.8503270696304748,PASS
MZSTWN,22-04-2018,5604.52,5769,-164.47999999999956,-2.934774075210715,PASS
AC5T8Z,22-04-2018,6503.55,6625,-121.44999999999982,-1.8674416280339172,PASS
MG4JND,22-04-2018,6879.59,7001,-121.40999999999985,-1.764785401455608,PASS
PGD95G,22-04-2018,8590.63,8764,-173.3700000000008,-2.018129054562946,PASS
RYGLRJ,22-04-2018,9244.42,9569,-324.5799999999999,-3.5110910149041255,PASS
RG8HRV,22-04-2018,5859.06,6107,-247.9399999999996,-4.231736831505388,PASS
NP8SUG,22-04-2018,3386,3386,0,0,PASS
O5QUEP,22-04-2018,6201.87,6356,-154.1300000000001,-2.485218168068665,PASS
H3HWYV,22-04-2018,2343.16,2488,-144.84000000000015,-6.181396063435709,PASS
U8D87L,22-04-2018,6529.95,6656,-126.05000000000018,-1.930336373172845,PASS
FYUMYS,22-04-2018,1936.02,2011,-74.98000000000002,-3.8728938750632746,PASS
295Q38,22-04-2018,1929.74,2039,-109.25999999999999,-5.661902639733849,PASS
N715JB,22-04-2018,7252.26,7383,-130.73999999999978,-1.802748384641474,PASS
HK2J6S,25-04-2018,5191,5304,-113,-2.1768445386245427,PASS
HKEDFS,25-04-2018,3779.5,3780,-0.5,-0.013229263130043656,PASS
FT4B8U,25-04-2018,2777.5,2778,-0.5,-0.018001800180018002,PASS
WG2LH5,25-04-2018,2916.55,3069,-152.44999999999982,-5.227066225506157,PASS
