PNR,DEP. DATE,TBO-TotalAmount(Preferred Curr),TRIPEUR-NETPAYABLE,PASS/FAIL-NETPAYABLE,TBO- Total GST,TRIPEUR-Airline Gst,PASS/FAIL-Airline Gst
V83VKC,07-05-2018,"[""5099.99""]","[""5313""]","[""PASS""]","[""0""]",[0],"[""PASS""]"
M747MB,07-05-2018,"[""4045.16""]","[""4160""]","[""PASS""]","[""0""]",[0],"[""PASS""]"
EB8ZTC,07-05-2018,"[""5255.8""]","[""5370""]","[""PASS""]","[""0""]",[0],"[""PASS""]"
P9T6ZE,07-05-2018,"[""8849.05""]","[""9205""]","[""PASS""]","[""0""]",[0],"[""PASS""]"
EMUH3J,07-05-2018,"[""4856.5""]","[""4857""]","[""PASS""]","[""13.5""]",[0],"[""FAIL""]"
K93VQY,07-05-2018,"[""8034.65""]","[""8149""]","[""PASS""]","[""0""]",[0],"[""PASS""]"
S74VQR,07-05-2018,"[""5753.83""]","[""5855""]","[""PASS""]","[""0""]",[0],"[""PASS""]"
JB4F5P,07-05-2018,"[""7986.29""]","[""8119""]","[""PASS""]","[""0""]",[0],"[""PASS""]"
SDBG7N,07-05-2018,"[""3736.5""]","[""3902""]","[""PASS""]","[""0""]",[0],"[""PASS""]"
M9GZTY,13-06-2018,"[""5740.5""]","[""5780""]","[""PASS""]","[""0""]","[""0""]","[""PASS""]"
LQDSMA,13-06-2018,"[""2652.14""]","[""2763""]","[""PASS""]","[""0""]","[""0""]","[""PASS""]"
HRTM4K,13-06-2018,"[""2985.5""]","[""3045""]","[""PASS""]","[""13.5""]","[""0""]","[""FAIL""]"
34K0PY,13-06-2018,"[""5510""]",[26932],"[""PASS""]","[""18""]","[""00""]","[""FAIL""]"
R93HZW,09-05-2018,"[""5681.9""]","[""5866""]","[""PASS""]","[""0""]",[0],"[""PASS""]"
IYQQYF,09-05-2018,"[""5083.8""]","[""5198""]","[""PASS""]","[""0""]",[0],"[""PASS""]"
LLBNPR,09-05-2018,"[""5846.72""]","[""5965""]","[""PASS""]","[""0""]",[0],"[""PASS""]"
XK9CTX,09-05-2018,"[""6644.95""]",[13530],"[""PASS""]","[""0""]",[0],"[""PASS""]"
UKGNUH,09-05-2018,"[""5585.83""]","[""5687""]","[""PASS""]","[""0""]",[0],"[""PASS""]"
RJ77TK,09-05-2018,"[""7959.52""]","[""8087""]","[""PASS""]","[""0""]",[0],"[""PASS""]"
WFCVPW,09-05-2018,"[""7242.56""]","[""7367""]","[""PASS""]","[""0""]",[0],"[""PASS""]"
